#bin	chrom	chromStart	chromEnd	name
585	chr1	55871	68941	chr1.1
663	chr1	10297766	10301003	chr1.2
666	chr1	10628678	10640184	chr1.3
682	chr1	12783336	12790824	chr1.4
713	chr1	16884242	16896887	chr1.5
715	chr1	17126415	17137953	chr1.6
851	chr1	34876909	34880863	chr1.7
918	chr1	43689996	43706276	chr1.8
1059	chr1	62214376	62215834	chr1.9
1138	chr1	72540340	72579542	chr1.10
1242	chr1	86175057	86177084	chr1.11
1251	chr1	87409982	87412646	chr1.12
1257	chr1	88089816	88098295	chr1.13
1283	chr1	91563464	91573795	chr1.14
1309	chr1	94910672	94925850	chr1.15
1367	chr1	102600719	102601411	chr1.16
1424	chr1	110030105	110037055	chr1.17
1433	chr1	111180501	111184586	chr1.18
1459	chr1	114609082	114610154	chr1.19
1499	chr1	119924945	119929020	chr1.20
1682	chr1	143864903	143883975	chr1.21
1708	chr1	147308446	147309299	chr1.22
1710	chr1	147467750	147484617	chr1.23
1710	chr1	147495710	147509945	chr1.24
1726	chr1	149585357	149611327	chr1.25
1732	chr1	150346613	150350663	chr1.26
1735	chr1	150821800	150850302	chr1.27
1737	chr1	151027995	151036431	chr1.28
1780	chr1	156756569	156757075	chr1.29
1781	chr1	156787361	156788016	chr1.30
1814	chr1	161159271	161159900	chr1.31
1905	chr1	173064490	173068262	chr1.32
2019	chr1	187978794	188048192	chr1.33
2073	chr1	195059091	195059832	chr1.34
2165	chr1	207188300	207192596	chr1.35
2323	chr1	227888902	227894006	chr1.36
2424	chr1	241125523	241131051	chr1.37
617	chr2	4195411	4200019	chr2.1
668	chr2	10938444	10939406	chr2.2
715	chr2	17086609	17095859	chr2.3
722	chr2	18035293	18056322	chr2.4
724	chr2	18253105	18253696	chr2.5
771	chr2	24455943	24459556	chr2.6
808	chr2	29265627	29280442	chr2.7
101	chr2	29490544	29508457	chr2.8
814	chr2	30016656	30034161	chr2.9
814	chr2	30109116	30121546	chr2.10
815	chr2	30260406	30271798	chr2.11
848	chr2	34567231	34575063	chr2.12
855	chr2	35439139	35468369	chr2.13
898	chr2	41092614	41100358	chr2.14
940	chr2	46576723	46579714	chr2.15
986	chr2	52605035	52636054	chr2.16
1001	chr2	54546708	54567570	chr2.17
125	chr2	55180595	55186739	chr2.18
1021	chr2	57261153	57268856	chr2.19
1038	chr2	59477092	59479126	chr2.20
1128	chr2	71185811	71196099	chr2.21
1158	chr2	75220445	75225096	chr2.22
1162	chr2	75698135	75741668	chr2.23
1178	chr2	77830770	77847723	chr2.24
156	chr2	87267723	87297627	chr2.25
1251	chr2	87327630	87344242	chr2.26
1263	chr2	88918239	88928238	chr2.27
157	chr2	88972906	89054469	chr2.28
158	chr2	89675676	89905076	chr2.29
1334	chr2	98238471	98252357	chr2.30
1408	chr2	107910514	107922950	chr2.31
1408	chr2	107954142	107973532	chr2.32
1437	chr2	111776301	111777519	chr2.33
1524	chr2	123197294	123198771	chr2.34
1571	chr2	129357904	129358422	chr2.35
1591	chr2	131903442	131943533	chr2.36
1703	chr2	146581429	146592386	chr2.37
1732	chr2	150434254	150435612	chr2.38
